"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Jph1","Group_safe",0.468709111835033,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.923929043020795,-0.114146036766432
"Jph2","Group_safe",0.257720774108118,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.10154322688195,0.139526110549079
"Jpx","Group_safe",0.932732149318509,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.983429749984207,-0.0241060957330235
"Jrk","Group_safe",0.61567576260884,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02407330730706,0.0343189929774686
"Jrkl","Group_safe",0.172676043486925,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.803458198614955,-0.31570512788763
"Jsrp1","Group_safe",0.277321826395961,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.08152183181491,0.113062788123015
"Jtb","Group_safe",0.449884192688699,0.999985228743128,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.937551556863295,-0.0930300670199346
"Jun","Group_safe",0.630988721756853,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.05751374525556,0.0806764151969123
"Junb","Group_safe",0.458117144612989,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.10185302674015,0.139931799467994
"Jund","Group_safe",0.409574891114164,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09130123940521,0.126049393694652
"Jup","Group_safe",0.401966800658512,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.07511421241086,0.104489929513582
"Kalrn","Group_safe",0.783822619377236,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.01735810151381,0.0248275851369116
"Kank1","Group_safe",0.982196566141671,0.999985228743128,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00233842473309,0.00336969541010247
