"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","feature"
298.650947360807,0.481219794080782,0.0887403333616031,5.42278551197105,5.8677385327121e-08,0.000785220770447533,"Zfp945"
1619.40929219275,1.3603458033806,0.283867067636369,4.79219310188948,1.64968005982536e-06,0.00169815527389099,"Enpp2"
224.378082917536,0.753114692734406,0.155378453276004,4.84696994245798,1.25361412061069e-06,0.00169815527389099,"Mfsd6"
316.096372449589,0.713178135735152,0.147115446852082,4.84774475417404,1.2487292250252e-06,0.00169815527389099,"Ccdc88a"
623.751716509803,-0.640735596856275,0.130695494926642,-4.90250713856596,9.46211754450143e-07,0.00169815527389099,"Hhat"
161.255444059374,0.634761068796848,0.12767163163662,4.97182546083151,6.63254049232307e-07,0.00169815527389099,"Wnt10b"
3897.3885568132,0.496148564374163,0.103392350563268,4.79869701840816,1.59701164964063e-06,0.00169815527389099,"Pcdh7"
1056.59576294942,-0.486621179902645,0.100214738088038,-4.85578458005998,1.19911006031439e-06,0.00169815527389099,"Cdkn2d"
581.745794840959,-0.432639083107014,0.086852176350615,-4.9813269083838,6.31497546904434e-07,0.00169815527389099,"4933404O12Rik"
417.386677551136,-0.428614171773393,0.0843926153788568,-5.07881133733385,3.79803632924917e-07,0.00169815527389099,"Cmc2"
5887.78432116035,-0.427870276436593,0.0884783572876998,-4.83587500438455,1.32561205912332e-06,0.00169815527389099,"Impdh2"
1013.35631541512,-0.342245840503584,0.0704264890021754,-4.85961809757423,1.17612407522272e-06,0.00169815527389099,"Naa10"
1347.24409266308,-0.279676298203072,0.0582446331389496,-4.80175224961707,1.57283215895122e-06,0.00169815527389099,"Ctnnbip1"
871.959770105815,-0.393590285160058,0.082552676107721,-4.76774713694891,1.8629739861407e-06,0.00178073699160963,"Tbc1d16"
509.018239757425,-0.847639234154859,0.179545739584247,-4.72102115103169,2.34663532394446e-06,0.00209351159366831,"Hopx"
232.308655079791,1.00315047800478,0.218051110012209,4.60052910507365,4.21419130154592e-06,0.00216901184604952,"Gm6093"
357.756151215205,0.939543463083677,0.203219092835359,4.62330310589892,3.77677224003815e-06,0.00216901184604952,"Ank2"
750.490742307301,0.801871077216224,0.171964644525176,4.66299964990087,3.1163328356418e-06,0.00216901184604952,"Ccnd2"
3002.22674252062,0.693526980748756,0.150193317920695,4.61756215489527,3.88274405685357e-06,0.00216901184604952,"Rnf13"
3535.61803784716,0.526251948028057,0.113898826477884,4.62034565501199,3.83101253242826e-06,0.00216901184604952,"Impact"
1036.86970918143,-0.515553230857734,0.109796504678682,-4.69553409160423,2.65911012400542e-06,0.00216901184604952,"Ngef"
5261.79053245029,-0.514465016299876,0.111689409488125,-4.60621126620402,4.10071778492585e-06,0.00216901184604952,"Rangap1"
361.983958829984,-0.421355595453866,0.0907024507090189,-4.64547090139395,3.39301599237435e-06,0.00216901184604952,"Psmb10"
414.057202508098,0.357042985133712,0.0775087473624753,4.6064863293942,4.09529971190879e-06,0.00216901184604952,"Tbc1d9"
1268.24138127176,-0.33766451337586,0.0732899854280461,-4.60723946667132,4.08049983236546e-06,0.00216901184604952,"Rbm14"
8460.57688129083,-0.291052881329597,0.0627485031930395,-4.63840357170277,3.51110681667484e-06,0.00216901184604952,"Hnrnpl"
1108.92268319773,-0.592809489835721,0.129816499175486,-4.56651884468369,4.95890476914677e-06,0.00228827805588697,"Tyms"
2975.14587852288,-0.251486132954629,0.0549993217252179,-4.57253153431744,4.8186667524495e-06,0.00228827805588697,"Tufm"
2122.65978866572,-0.232226377463051,0.0508538813376329,-4.56654185196281,4.95836077953866e-06,0.00228827805588697,"Mrpl9"
20119.4943825537,0.43809285552863,0.096291754794068,4.54964037643251,5.37376754660244e-06,0.00239705857695446,"Canx"
