"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","feature","contrast"
1196.24189930712,0.00176064296088278,0.0646136598393997,0.0272487731736438,0.978261314763713,0.999196751350019,"0610007P14Rik","DMSO+LIPUS_vs_DMSO"
862.049269843436,0.09051380895911,0.0830729091866576,1.0895707137899,0.275902289541275,0.897334773526711,"0610009B22Rik","DMSO+LIPUS_vs_DMSO"
31.9197273370373,0.33567191074763,0.293077980455691,1.14533309607809,0.252071201152992,0.885107607585597,"0610009L18Rik","DMSO+LIPUS_vs_DMSO"
1219.84804814112,-0.0666248333309713,0.0549966558324628,-1.21143426491115,0.225729013785809,0.864205960527234,"0610009O20Rik","DMSO+LIPUS_vs_DMSO"
816.024272567954,0.260578926324731,0.196433007625519,1.32655366567263,0.184656371642382,0.851915540735604,"0610010F05Rik","DMSO+LIPUS_vs_DMSO"
948.919546589524,-0.1401660563764,0.0764004367437619,-1.83462375806176,0.0665614559793885,0.809869701324128,"0610010K14Rik","DMSO+LIPUS_vs_DMSO"
375.361705276848,-0.0464205334044887,0.077669365098656,-0.597668506051584,0.550061143706293,0.967118557909395,"0610011F06Rik","DMSO+LIPUS_vs_DMSO"
361.287496523936,-0.0507124200797214,0.11466484009629,-0.442266522476597,0.658296353298508,0.976491603205909,"0610012G03Rik","DMSO+LIPUS_vs_DMSO"
936.563526246133,0.169633732729885,0.102994541912424,1.64701672127561,0.0995546089256992,0.821443249917415,"0610030E20Rik","DMSO+LIPUS_vs_DMSO"
1037.4881430343,0.0186839828678835,0.0768390805764488,0.243157293498514,0.807883548946454,0.992108201535455,"0610037L13Rik","DMSO+LIPUS_vs_DMSO"
8.46997590993681,-0.253356372464399,0.511642356125723,-0.495182561472967,0.620471259043965,0.970804841440783,"0610038B21Rik","DMSO+LIPUS_vs_DMSO"
21.6069392148003,-0.1708730835269,0.335786109681669,-0.508874782488442,0.610839996973684,0.970804841440783,"0610040B10Rik","DMSO+LIPUS_vs_DMSO"
124.385084677836,-0.12868912942691,0.139623431209557,-0.921687200436746,0.356691758855749,0.923301341453446,"1110001J03Rik","DMSO+LIPUS_vs_DMSO"
69.2813986734353,-0.00132498812509317,0.221320695133466,-0.00598673397575471,0.995223305924697,0.999541007884492,"1110002L01Rik","DMSO+LIPUS_vs_DMSO"
640.410023987137,0.0716130770743162,0.111051999732476,0.644860761146415,0.519017422017987,0.963119194279048,"1110004E09Rik","DMSO+LIPUS_vs_DMSO"
