"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","feature","contrast"
1196.24189930712,0.0144729360368402,0.0645511186615943,0.224208911277181,0.822594749780337,0.999954941568007,"0610007P14Rik","T3976+LIPUS_vs_DMSO"
862.049269843436,0.0593837844484743,0.0831156004416415,0.714472182513677,0.474935251325688,0.999954941568007,"0610009B22Rik","T3976+LIPUS_vs_DMSO"
31.9197273370373,-0.0284193541725787,0.300172298937357,-0.0946768048656931,0.924571542238301,0.999954941568007,"0610009L18Rik","T3976+LIPUS_vs_DMSO"
1219.84804814112,-0.0151966356866711,0.0548220559842401,-0.277199302613528,0.781627075089754,0.999954941568007,"0610009O20Rik","T3976+LIPUS_vs_DMSO"
816.024272567954,0.15231517396752,0.19653578539922,0.774999696152659,0.438339839131001,0.999954941568007,"0610010F05Rik","T3976+LIPUS_vs_DMSO"
948.919546589524,-0.0484377759283156,0.0761284448792393,-0.636263830229966,0.524604475670403,0.999954941568007,"0610010K14Rik","T3976+LIPUS_vs_DMSO"
375.361705276848,0.0436095510672965,0.0770431797558965,0.566040384177664,0.571366328015612,0.999954941568007,"0610011F06Rik","T3976+LIPUS_vs_DMSO"
361.287496523936,-0.0989614390327918,0.114820501160856,-0.861879525278793,0.388753817078038,0.999954941568007,"0610012G03Rik","T3976+LIPUS_vs_DMSO"
936.563526246133,0.084514346596753,0.103125917407507,0.819525767347024,0.412486506830309,0.999954941568007,"0610030E20Rik","T3976+LIPUS_vs_DMSO"
1037.4881430343,0.0184128553206048,0.0768078719494167,0.239726148548041,0.810542562324217,0.999954941568007,"0610037L13Rik","T3976+LIPUS_vs_DMSO"
8.46997590993681,-0.244457279991061,0.510513667128109,-0.478845711156478,0.632048394733025,0.999954941568007,"0610038B21Rik","T3976+LIPUS_vs_DMSO"
21.6069392148003,0.0228289860514145,0.330324971541614,0.0691106880139049,0.944901513566983,0.999954941568007,"0610040B10Rik","T3976+LIPUS_vs_DMSO"
124.385084677836,-0.203267158050826,0.140255335108853,-1.44926506997448,0.147263571857971,0.999954941568007,"1110001J03Rik","T3976+LIPUS_vs_DMSO"
69.2813986734353,0.00677284188318865,0.221062886475987,0.0306376252981947,0.975558535575515,0.999954941568007,"1110002L01Rik","T3976+LIPUS_vs_DMSO"
640.410023987137,0.140735383191013,0.110842334254619,1.26968981786079,0.204195141172922,0.999954941568007,"1110004E09Rik","T3976+LIPUS_vs_DMSO"
