"dimension_coordinate.primary","dimension_coordinate.PC1","dimension_coordinate.PC2","dimension_coordinate.PC3","dimension_axis"
"J_XYL_F_0001_01",-0.077188620484885,0.0422227212374622,0.00305408776302335,44.02
"J_XYL_F_0001_02",-0.206623173404488,0.10731798396492,0.00549385515945591,31.12
"J_XYL_F_0002_01",-0.0134645822796708,-0.00546751721249309,-0.00705602375780498,24.86
"J_XYL_F_0002_02",-0.0171168790061553,-0.0133104427097636,-0.0540089737895974,44.02
"J_XYL_F_0003_01",-0.00966890797536467,-0.00216234106587899,-0.0259527201054408,31.12
"J_XYL_F_0003_02",-0.029497777507963,-0.046388895403974,-0.421039119428905,24.86
"J_XYL_F_0004_01",-0.0124105199020055,-0.0224493407736282,-0.00488662072191795,44.02
"J_XYL_F_0004_02",-0.0330662874543998,-0.0364604383947815,-0.000352497026615728,31.12
"J_XYL_F_0005_01",-0.00823725147438305,0.000324479093221104,-0.0149085036427068,24.86
"J_XYL_F_0005_02",-0.0285545231807342,0.00355186832732788,-0.0209307823068713,44.02
"J_XYL_F_0006_01",-0.00870789842394953,0.000731388222694964,-0.00651915475673507,31.12
"J_XYL_F_0006_02",-0.0118403150659002,0.0015506665829261,-0.0243679604760922,24.86
"J_XYL_F_0010_01",-0.0110902922392253,-7.75600480455648e-05,-0.0174733285318185,44.02
"J_XYL_F_0010_02",-0.0162860468149317,-0.00277669238177009,-0.0187889445205248,31.12
"J_XYL_F_0012_01",-0.0377784062459412,-0.0459451080794587,-0.410750096205302,24.86
"J_XYL_F_0012_02",-0.0243352728457761,-0.0344727606326881,-0.351901724839313,44.02
"J_XYL_F_0013_01",-0.0263006358045938,0.00980017884470118,-0.0160775361708017,31.12
"J_XYL_F_0013_02",-0.0498644792382608,0.0206146661519178,-0.00726257535161362,24.86
"J_XYL_F_0015_01",-0.0693002290213296,0.0272423156586001,-0.00627231085725023,44.02
"J_XYL_F_0015_02",-0.0225486458791873,0.00619157854516569,-0.0409722845188369,31.12
"J_XYL_F_0016_01",-0.0734156842050002,0.0205839117488207,-0.0223875319470913,24.86
"J_XYL_F_0016_02",-0.036411194092269,0.0171779295727997,-0.00781048913500952,44.02
"J_XYL_F_0018_01",-0.0261083341643527,-0.0261926400624224,-0.0149012706509613,31.12
"J_XYL_F_0018_02",-0.00548126929025459,0.00158455963393307,-0.0032115738902605,24.86
"J_XYL_F_0020_01",-0.0153900751306424,-0.0413104353653351,-0.00579541409488497,44.02
"J_XYL_F_0020_02",-0.0209055542811896,-0.00156816812397593,-0.00540092078414189,31.12
"J_XYL_F_0025_01",-0.0164868235688861,0.00064146533216798,-0.00980323617060995,24.86
"J_XYL_F_0025_02",-0.0610307746799393,0.0225731627018487,-0.00710648808923652,44.02
"J_XYL_F_0031_01",-0.0563296089002059,-0.131702793742746,0.0161120330592352,31.12
"J_XYL_F_0031_02",-0.0424334419512339,-0.0753796052090384,0.0116273168721324,24.86
"J_XYL_F_0032_01",-0.017980010566116,-0.00429333731252801,-0.00508462273418061,44.02
"J_XYL_F_0032_02",-0.0262323626454577,-0.0268556717414905,-0.00123989902985627,31.12
"J_XYL_F_0034_01",-0.0576111200767638,-0.0174255320571387,0.000966769249472929,24.86
"J_XYL_F_0034_02",-0.181572738061115,0.0874354733765332,0.00581745728613495,44.02
"J_XYL_F_0036_01",-0.0458651257250821,0.0208574371951832,-0.00993908764586947,31.12
"J_XYL_F_0036_02",-0.0099816660999334,0.00111238401435767,-0.00660070648554578,24.86
"J_XYL_F_0043_01",-0.0410976435448786,-0.0715787857777414,0.00491424697969174,44.02
"J_XYL_F_0043_2",-0.0111693174207804,0.00100340200420706,-0.00916219759565229,31.12
"J_XYL_F_0044_01",-0.0561997132670899,0.028480653547744,-0.000741207327154594,24.86
"J_XYL_F_0044_02",-0.0173449352955938,0.00274625587960257,-0.00389634661596143,44.02
"J_XYL_F_0045_01",-0.2189119594407,0.118217156543583,0.0103431483809743,31.12
"J_XYL_F_0045_2",-0.347151282301577,0.194831446217234,0.0151497715643499,24.86
"J_XYL_F_0046_01",-0.0164987330281605,-0.00473785369035718,-0.0133453004492859,44.02
"J_XYL_F_0046_02",-0.0636916694170184,0.0305692611984208,-0.0059271012527872,31.12
"J_XYL_F_0047_01",-0.0816831554915784,0.0124170718544339,0.00405921160404422,24.86
"J_XYL_F_0047_02",-0.0401102602822299,-0.00361496123633559,-0.00437138485670148,44.02
"J_XYL_F_0048_01",-0.210753968705317,0.113627252701815,0.015796619375764,31.12
"J_XYL_F_0049_02",-0.0257960720165968,0.0074173115477768,-0.0110295433750393,24.86
"J_XYL_F_0050_01",-0.197771371208621,0.104877441081057,0.00659375544208222,44.02
"J_XYL_F_0050_02",-0.0325714261326358,0.0182863503110803,0.00219270694140929,31.12
"J_XYL_F_0051_01",-0.204170618741404,0.113281060888992,0.0110349168558146,24.86
"J_XYL_F_0051_02",-0.00587062100197654,-0.0139029730797674,-0.0137339380183724,44.02
"J_XYL_F_0053_01",-0.033092588348866,-0.040444673782033,-0.116689286143453,31.12
"J_XYL_F_0053_02",-0.0175571216197045,-0.0203528795328115,-0.0623231903142605,24.86
"J_XYL_F_0057_01",-0.0256620827461181,0.000455418479034003,-0.00402024137364385,44.02
"J_XYL_F_0057_02",-0.0318348702131791,-0.0310366251425303,-0.0139407892196664,31.12
"J_XYL_F_0058_01",-0.143783691494161,0.0737527486592226,0.00631218440145753,24.86
"J_XYL_F_0058_02",-0.0240921036034154,0.00296860920927529,-0.00916088938425406,44.02
"J_XYL_F_0059_01",-0.0164535314405789,-0.00165968598829993,-0.0124883114321829,31.12
"J_XYL_F_0059_02",-0.0331778405858707,-0.00149155933050199,-0.028968062624905,24.86
"J_XYL_F_0060_01",-0.0502388410617432,-0.00569805574755959,0.00125284973011655,44.02
"J_XYL_F_0060_02",-0.0545734863756156,-0.149623225036168,0.0267716501486866,31.12
"J_XYL_F_0061_01",-0.0185739144919566,-0.0210113856724131,-0.000637091354682532,24.86
"J_XYL_F_0061_02",-0.0103644312406947,0.00165516458283855,-0.00359199514930854,44.02
"J_XYL_F_0062_01",-0.0209297429870856,-0.00699891485908363,-0.0456960130644656,31.12
"J_XYL_F_0062_02",-0.0147199557888474,-0.0252342862649131,-0.0340975367799904,24.86
"J_XYL_F_0064_01",-0.249351016632428,0.131795987736755,0.0130552435673785,44.02
"J_XYL_F_0064_02",-0.118891157720368,0.0645258337833877,0.00331301001127839,31.12
"J_XYL_F_0065_01",-0.0357073397430625,0.00849334353658164,-0.0585494829630774,24.86
"J_XYL_F_0065_02",-0.0171733790394291,0.00419589999710218,-0.00872923431644859,44.02
"J_XYL_F_0066_01",-0.0581526187338777,0.0253088026530384,-0.00404105916063533,31.12
"J_XYL_F_0066_02",-0.0586735182791379,-0.0800482825363139,0.0138909292268247,24.86
