"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__","Group",0.00345589858317645,0.240184951530763,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.30256064690027,1.20323915580846
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__biforme","Group",0.993078309601489,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.791530944625407,-0.337282341764398
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__reuteri","Group",0.00698985627576136,0.297959475717962,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.0690161527165932,-3.85692213633443
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__","Group",0.255812444644368,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.63741007194245,0.711415674695712
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__","Group",0.716881115738763,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.752873563218391,-0.409520494311278
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;__;__","Group",0.65913970818785,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.5,-1
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis","Group",0.0371867630675864,0.574328896266057,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.07668711656442,1.05428386934392
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea","Group",0.363621686065064,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.02013422818792,1.01445115629754
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae","Group",0.709265110619189,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.59391771019678,0.672577148678732
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53;s__","Group",0.0481408684603165,0.608325519634908,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.35781990521327,-1.48269444938211
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__formicigenerans","Group",0.544664399402989,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.863564041368337,-0.211624923805363
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella;__","Group",0.40970368595992,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.705332600329851,-0.503624372561804
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__obeum","Group",0.775278385967502,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.938931297709924,-0.0909084961982104
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__torques","Group",0.827516475191835,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.956834532374101,-0.0636586372223178
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__eutactus","Group",0.325922184572106,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",2.19290465631929,1.13284308750373
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;__","Group",0.0859971960110288,0.747100640345813,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.620253164556962,-0.689070904061895
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__hathewayi","Group",0.950622410860158,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.732638888888889,-0.448825812735127
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__rhizosphaerae","Group",0.614963413089171,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.80939226519337,-0.305089032660957
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__;s__","Group",1,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.9,-0.15200309344505
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__","Group",0.071654959431515,0.747100640345813,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",5.27307692307692,2.39864504275077
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula","Group",0.484573230519052,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.39168110918544,0.476828668871832
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;__","Group",0.495759473952934,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.08695652173913,0.120294233717712
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__palleronii","Group",0.47492743586091,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.25124131082423,0.323360050380494
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__","Group",0.0925462091973282,0.754100962101874,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",5.02040816326531,2.32780466122403
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__onderdonkii","Group",0.142756663588075,0.860647957425393,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.3734375,-1.42106128690661
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__putredinis","Group",0.773794600862493,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.50224618149146,0.587121254738923
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;__;__","Group",0.330529016830506,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.674760853568801,-0.567551817172337
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__citroniae","Group",0.555172418987151,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.32775119617225,0.408984829156586
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__breve","Group",0.782551907903852,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.826196473551637,-0.275443192524874
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__bifidum","Group",0.91020727710097,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.918181818181818,-0.123148230772865
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__colinum","Group",0.486152015492956,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.90728476821192,0.931520262117233
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__","Group",0.695619797868092,1,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",1.90570719602978,0.930326472193189
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__","Group",0.731576938632138,1,"IBS_after","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",0.729508196721312,-0.455003906596488
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__","Group",0.109667202842796,0.762187059757429,"IBS_before","Wilcoxon rank sum test with continuity correction","IBS_before vs IBS_after",9.26923076923077,3.21244961808887
